,IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree,prestige
3174,654,1,Female,White,44,Never married,NA,W. nor. central,1,No,No,Graduate,Social Sciences,40-57.9%,468+,Public,25000,24,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,NA
4377,1567,2,Female,White,37,Married,0,E. nor. central,1,No,No,Graduate,Social Sciences,58%+,468+,Public,25000,41,Working fulltime,0,Private,"Other schools and instruction, and educational support services",72,NA
4451,1649,2,Female,Other,55,Separated,NA,South atlantic,1,NA,NA,Junior college,Social Sciences,0-39.9%,468+,Public,NA,1,Retired,1,Government,Elementary and secondary schools,88,NA
251,291,1,Female,White,19,Married,50000,Pacific,1,No,No,Bachelor,Social Sciences,40-57.9%,468+,Public,25000,27,Working fulltime,0,Private,Religious organizations,48,NA
557,1744,2,Female,Black,12,Never married,50000,Pacific,1,NA,NA,Bachelor,Social Sciences,40-57.9%,468+,Public,25000,1,"Unempl, laid off",0,Private,Scientific research and development services,53,66
574,1753,1,Female,White,48,Widowed,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Social Sciences,40-57.9%,468+,Public,20000,8,Working parttime,0,Government,Elementary and secondary schools,68,NA
923,1948,1,Female,White,40,Divorced,250000,Middle atlantic,1,NA,NA,Bachelor,Social Sciences,58%+,468+,Private,NA,84,Other,0,Government,Other health care services,87,NA
1492,2263,1,Female,White,47,Widowed,250000,W. nor. central,1,NA,NA,Bachelor,Social Sciences,40-57.9%,468+,Public,NA,1,Retired,0,Government,Administration of human resource programs,80,NA
1687,2372,2,Female,White,50,Married,Big-city suburb,Pacific,1,NA,NA,Bachelor,Social Sciences,0-39.9%,468+,Public,25000,35,Temp not working,0,Private,Miscellaneous general merchandise stores,41,39
1789,2428,2,Male,White,8,Married,250000,E. nor. central,1,No,No,Bachelor,Education,40-57.9%,468+,Public,25000,57,Working fulltime,0,Private,Investigation and security services,75,36
1853,2464,2,Female,White,21,Married,0,Foreign,0,NA,NA,Bachelor,Education,NA,NA,none,NA,29,Working fulltime,1,Private,Private households,8,38
1960,2523,1,Male,White,47,Married,50000,Mountain,1,NA,NA,Bachelor,Education,40-57.9%,468+,Public,NA,1,Retired,0,Private,"Professional and commercial equipment and supplies, merchant wholesalers",75,NA
2148,85,2,Female,White,8,Married,NA,E. nor. central,1,NA,NA,Bachelor,Arts,40-57.9%,468+,Public,1000,36,Working fulltime,1,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",80,24
2860,481,2,Female,Other,17,Married,250000,Foreign,0,No,No,Bachelor,Arts,NA,NA,none,20000,13,Working fulltime,0,Government,Scientific research and development services,67,28
3289,719,1,Female,White,6,Never married,Big-city suburb,Pacific,1,NA,NA,Junior college,Arts,NA,468+,Public,NA,84,School,0,Private,Child day care services,68,NA
94,1956,1,Female,White,56,Married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Arts,40-57.9%,468+,Public,NA,84,Keeping house,0,Government,Elementary and secondary schools,88,NA
3124,627,1,Male,Other,50,Married,0,W. sou. central,1,NA,NA,Graduate,Humanities,40-57.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
3138,634,1,Male,White,30,Never married,Big-city suburb,New england,1,No,No,Graduate,Humanities,40-57.9%,468+,Public,25000,35,Working fulltime,0,Government,Elementary and secondary schools,88,NA
1664,2359,1,Male,Black,33,Married,NA,South atlantic,1,No,No,Bachelor,Humanities,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Fiber, yarn, and thread mills",68,NA
2686,384,2,Female,White,59,Widowed,50000,Mountain,1,NA,NA,Bachelor,Humanities,40-57.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,35
696,1821,1,Male,White,20,Married,Big-city suburb,New england,1,No,No,Bachelor,Humanities,58%+,468+,Private,25000,84,Temp not working,0,Private,"Periodical, book, and directory publishers",49,NA
2036,23,1,Female,White,17,Never married,NA,New england,1,Yes,No,Bachelor,Arts,58%+,468+,Private,25000,26,Working fulltime,0,Government,Elementary and secondary schools,84,NA
2478,268,2,Male,White,36,Married,0,E. nor. central,1,No,No,Graduate,Arts,NA,NA,none,25000,13,Temp not working,1,Private,Religious organizations,78,36
3122,626,1,Female,White,57,Widowed,NA,W. sou. central,1,NA,NA,Bachelor,Arts,58%+,468+,Private,5000,1,Retired,0,Government,Elementary and secondary schools,88,NA
3511,844,1,Male,Other,15,Never married,0,Foreign,0,No,No,Graduate,Economics,58%+,468+,Private,15000,73,Working fulltime,0,Private,Religious organizations,78,NA
4267,1444,2,Male,White,45,Married,NA,W. sou. central,1,NA,NA,Graduate,Pre-Health & Medicine,NA,NA,none,25000,57,Working fulltime,0,Private,Religious organizations,78,NA
4362,1550,2,Male,White,32,Married,NA,W. nor. central,1,NA,NA,Graduate,Design,NA,0-467,Private,25000,1,"Unempl, laid off",0,Private,Religious organizations,78,NA
323,691,2,Female,White,28,Never married,0,New england,1,No,No,Junior college,Design,NA,NA,none,25000,35,Working fulltime,0,Private,Radio and television broadcasting and cable subscription programming,59,25
669,1807,2,Male,Black,18,Never married,50000,W. nor. central,1,NA,NA,Bachelor,Design,40-57.9%,468+,Public,0,13,Working parttime,1,Private,Construction,49,40
1522,2280,1,Female,Black,32,Married,250000,Foreign,0,No,No,Bachelor,Design,NA,NA,none,NA,73,Working fulltime,0,Private,"Sewing, needlework, and piece goods stores",46,NA
203,25,2,Male,White,15,Never married,Big-city suburb,E. nor. central,0,No,No,Graduate,Design,40-57.9%,468+,Public,25000,51,Working fulltime,0,Private,Computer systems design and related services,81,48
4337,1522,2,Male,White,27,Married,0,W. nor. central,1,NA,NA,Bachelor,Pre-Health & Medicine,58%+,468+,Public,NA,66,Working fulltime,0,Private,Animal production,6,NA
1376,2198,2,Female,White,40,Never married,50000,W. sou. central,1,No,No,Junior college,Design,NA,468+,Public,25000,51,Working fulltime,0,Private,"Construction, and mining and oil and gas field machinery manufacturing    ",69,49
2260,148,1,Male,White,49,Married,0,South atlantic,0,No,No,Junior college,Design,NA,468+,Public,25000,35,Working fulltime,1,Private,Real estate,58,NA
2748,418,2,Male,White,27,Never married,250000,E. sou. central,1,No,No,Bachelor,Design,58%+,468+,Public,8000,46,Working parttime,0,Private,Lawn and garden equipment and supplies stores,72,28
3446,809,1,Male,White,27,Married,Big-city suburb,Mountain,1,No,No,Bachelor,Design,58%+,468+,Public,NA,43,Working fulltime,0,Private,"Securities, commodities, funds, trusts, and other financial investments",72,NA
4449,1647,2,Male,White,36,Married,0,South atlantic,1,No,No,Junior college,Design,NA,NA,Public,25000,63,Working fulltime,0,Private,"Veneer, plywood, and engineered wood products",25,0
